Agency,Program or Activity ,Fiscal Year, Confirmed Fraud 
SBA,504 Certified Development Loans Approvals,2021, $ -   
SBA,Administrative,2017, $ 0.16 
SBA,Administrative,2018, $ 0.73 
SBA,Administrative,2019, $ 1.65 
SBA,Agency Wide,2022, $ 103.74 
SBA,Agency Wide,2023, $ 65.04 
SBA,Agency Wide,2024, $ 83.30 
SBA,Civil,2017, $ 1.12 
SBA,Civil,2018, $ -   
SBA,Civil,2019, $ 1.20 
SBA,Cost Avoidance,2017, $ 0.53 
SBA,Cost Avoidance,2018, $ -   
SBA,Cost Avoidance,2019, $ -   
SBA,COVID-Economic Injury Disaster Loan (EIDL),2021, $ -   
SBA,Disaster Assistance Loans,2021, $ -   
SBA,Microloan Program,2021, $ -   
SBA,Office of Women's Business Ownership (OWBO),2021, $ -   
SBA,SBA Administrative Payroll,2021, $ -   
SBA,SBA Administrative Travel,2021, $ -   
SBA,SERVICE CORPS OF RETIRED EXECUTIVES PROGRAM (SCORE),2021, $ -   
SBA,Small Business Development Center (SBDC),2021, $ -   
SBA,Small Business Investment Companies Advances,2021, $ -   
SBA,State Trade Expansion Program,2021, $ -   
SBA,Surety Bond Guarantees (SBG),2021, $ -   
SEC,Agency Wide,2022, $ -   
SEC,Agency Wide,2023, $ -   
SEC,Securities and Exchange Commission Agency Reporting,2021, $ -   
SSA,Administrative Payments - Social Security Administration,2021, $ -   
SSA,Agency Wide,2022, $ 73.06 
SSA,Agency Wide,2023, $ 63.18 
SSA,Agency Wide,2024, $ 88.05 
SSA,"Old-Age, Survivors, and Disability Insurance (OASDI)",2017, $ 116.65 
SSA,"Old-Age, Survivors, and Disability Insurance (OASDI)",2018, $ 77.76 
SSA,"Old-Age, Survivors, and Disability Insurance (OASDI)",2019, $ 88.22 
SSA,"Old-Age, Survivors, and Disability Insurance (OASDI)",2020, $ 86.56 
SSA,"Old-Age, Survivors, and Disability Insurance (OASDI)",2021, $ 106.32 
SSA,Supplemental Security Income (SSI),2017, $ 32.03 
SSA,Supplemental Security Income (SSI),2018, $ 33.10 
SSA,Supplemental Security Income (SSI),2019, $ 25.95 
SSA,Supplemental Security Income (SSI),2020, $ 25.69 
SSA,Supplemental Security Income (SSI),2021, $ 13.04 
SSS,Agency Wide,2024, $ -   
STATE,Agency Wide,2022, $ 14.59 
STATE,Agency Wide,2023, $ 13.84 
STATE,Agency Wide,2024, $ 40.41 
STATE,American Compensation,2021, $ -   
STATE,Assessed Contributions,2021, $ -   
STATE,"Aviation, Anticrime, Interdiction and Related Programs",2021, $ -   
STATE,Capital and Real Property Acquisitions Programs,2021, $ -   
STATE,Citizen Exchange Program,2021, $ -   
STATE,Construction,2021, $ -   
STATE,Consular and Border Security Programs,2021, $ -   
STATE,Defense Contract Audit Agency,2021, $ -   
STATE,Department of State,2018, $ 7.14 
STATE,Department of State Programs,2020, $ 4.95 
STATE,Diplomatic Programs,2021, $ -   
STATE,"Diplomatic Programs, Diplomatic Policy and Support",2021, $ -   
STATE,"Diplomatic Programs, Other Operations Programs",2021, $ -   
STATE,"Diplomatic Programs, Terrorism Related",2021, $ -   
STATE,Domestic Purchase Card Payments,2021, $ -   
STATE,Economic Support Fund,2021, $ -   
STATE,Educational Programs,2021, $ -   
STATE,Embassy Operations Programs,2021, $ -   
STATE,Foreign Locally Employed Staff Compensation,2021, $ -   
STATE,Foreign Service Annuities,2021, $ -   
STATE,Fulbright Program,2021, $ -   
STATE,International Cooperative Administrative Support Services,2021, $ -   
STATE,International Security and Nonproliferation Related Programs,2021, $ -   
STATE,International Security Programs,2021, $ -   
STATE,Leaseholds and Functional Programs,2021, $ -   
STATE,National Endowment for Democracy,2021, $ -   
STATE,Office of Inspector General - Department of State,2021, $ -   
STATE,Overseas Programs,2021, $ -   
STATE,Peace-Keeping Operations Programs,2021, $ -   
STATE,Physical Security Programs,2021, $ -   
STATE,Population Refugees and Migration Programs,2021, $ -   
STATE,Post-Assignment Travel,2021, $ -   
STATE,Project Construction - Major Rehabilitation,2021, $ -   
STATE,Promote the Rule of Law,2021, $ -   
STATE,"Security - Afghanistan, Pakistan",2021, $ -   
STATE,State,2021, $ 16.99 
STATE,State Department,2017, $ 19.15 
STATE,State Department Programs,2019, $ 5.30 
STATE,Temporary Duty Travel,2021, $ -   
STATE,Voluntary Contributions,2021, $ -   
STATE,Working Capital Fund Programs,2021, $ -   
STATE,Worldwide Security Protection,2021, $ -   
STB,Agency Wide,2023, $ -   
STB,Agency Wide,2024, $ -   
TREASURY,Agency Wide,2022, $ 64.68 
TREASURY,Agency Wide,2023, $ 25.20 
TREASURY,Agency Wide,2024, $ 116.06 
TREASURY,Alcohol and Tobacco Tax and Trade Bureau - Internal Revenue Collection Puerto Rico,2021, $ -   
TREASURY,Alcohol and Tobacco Tax and Trade Bureau - Salaries and Expenses,2021, $ -   
TREASURY,Bureau of Engraving and Printing,2019, $ 0.02 
TREASURY,Bureau of Engraving and Printing - Bureau of Engraving and Printing Fund,2021, $ -   
TREASURY,Bureau of the Fiscal Service,2018, $ 2.65 
TREASURY,Bureau of the Fiscal Service,2020, $ 5.13 
TREASURY,Community Development Financial Institutions Fund - Capital Magnet Fund,2021, $ -   
TREASURY,Community Development Financial Institutions Fund - CDFI BGP Financing Fund,2021, $ -   
TREASURY,Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Equity Investment Dividend,2021, $ -   
TREASURY,Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Program,2021, $ -   
TREASURY,DCP,2017, $ 0.08 
TREASURY,Departmental Offices - Air Carrier Worker Support,2021, $ -   
TREASURY,Departmental Offices - Assist to Fannie Mae and Freddie Mac (FNMC) & Federal Home Loan Mortgage Corporation (FHLMC),2021, $ -   
TREASURY,Departmental Offices - Coronavirus Relief Fund,2021, $ -   
TREASURY,Departmental Offices - Cybersecurity Enhancement Account,2021, $ -   
TREASURY,Departmental Offices - Economic Stabilization Direct Loan Financing,2021, $ -   
TREASURY,Departmental Offices - Economic Stabilization Program,2021, $ -   
TREASURY,Departmental Offices - Exchange Stabilization Fund,2021, $ -   
TREASURY,Departmental Offices - Federal Research Fund,2021, $ -   
TREASURY,Departmental Offices - Grants for Specified Energy Property in Lieu of Tax Credit,2021, $ -   
TREASURY,Departmental Offices - International Affairs Technical Assistance,2021, $ -   
TREASURY,Departmental Offices - Office of Terrorism and Financial Intelligence,2021, $ -   
TREASURY,Departmental Offices - Salaries and Expenses,2021, $ 0.20 
TREASURY,Departmental Offices - Small Business Lending Fund Program,2021, $ -   
TREASURY,Departmental Offices - Social Impact Demonstration Projects,2021, $ -   
TREASURY,Departmental Offices - State Small Business Credit Initiative,2021, $ -   
TREASURY,Departmental Offices - Treasury Forfeiture Fund,2021, $ -   
TREASURY,Departmental Offices (Treasury),2018, $ 5.05 
TREASURY,Departmental Offices (Treasury),2019, $ 14.45 
TREASURY,Departmental Offices (Treasury),2020, $ 2.14 
TREASURY,District of Columbia (DC) Pensions - DC Federal Pension Fund,2021, $ -   
TREASURY,District of Columbia Pensions - DC Judicial Retirement & Survivors Annuity Fund,2021, $ -   
TREASURY,DO,2017, $ 29.68 
TREASURY,Financial Crimes Enforcement Network - Salaries and Expenses,2021, $ 0.05 
TREASURY,Fiscal Serivce  Gulf Coast Restoration Trust Fund,2021, $ -   
TREASURY,Fiscal Service,2017, $ 21.91 
TREASURY,Fiscal Service - American Indian & Alaskan Native,2021, $ -   
TREASURY,Fiscal Service - Check Forgery Insurance Fund,2021, $ -   
TREASURY,Fiscal Service - Cheyenne River Sioux Tribe Terrestrial Wildlife Habitat Restoration Trust Fund,2021, $ -   
TREASURY,Fiscal Service - Claims for Contract Disputes,2021, $ -   
TREASURY,Fiscal Service - Claims for Damages,2021, $ -   
TREASURY,Fiscal Service - Corporation for Public Broadcasting,2021, $ -   
TREASURY,Fiscal Service - DC Water & Sewer,2021, $ -   
TREASURY,Fiscal Service - Debt Collection,2021, $ -   
TREASURY,Fiscal Service - Debt Collection Special Fund,2021, $ -   
TREASURY,Fiscal Service - Emergency Planning & Security,2021, $ -   
TREASURY,Fiscal Service - Federal Reserve Bank Reimbursement Fund,2021, $ -   
TREASURY,Fiscal Service - Financial Agent Services,2021, $ -   
TREASURY,Fiscal Service - Fiscal Service Administrative Salaries and Expenses,2021, $ 7.10 
TREASURY,Fiscal Service - Guam World War II Claims Fund,2021, $ -   
TREASURY,Fiscal Service - Interest on the Public Debt (indefinite),2021, $ -   
TREASURY,Fiscal Service - Interest on Uninvested Funds,2021, $ -   
TREASURY,"Fiscal Service - Judgements, Court of Claims",2021, $ -   
TREASURY,"Fiscal Service - Judgements, U.S. Courts",2021, $ -   
TREASURY,Fiscal Service - Payment to Legal Services Corporation,2021, $ -   
TREASURY,Fiscal Service - Payment to Resolution Funds Corporation,2021, $ -   
TREASURY,Fiscal Service - Refund Money Erroneously Received,2021, $ -   
TREASURY,Fiscal Service - Reimbursements to Federal Reserve Banks,2021, $ -   
TREASURY,Fiscal Service - Resident Tuition Sup,2021, $ -   
TREASURY,Fiscal Service - Restitution of Foregone Interest,2021, $ -   
TREASURY,Fiscal Service - School Improvement,2021, $ -   
TREASURY,"Fiscal Service - Travel Promotion Fund, Corp for Travel Promotion",2021, $ -   
TREASURY,Internal Revenue Service,2019, $ 7.59 
TREASURY,Internal Revenue Service,2020, $ 20.20 
TREASURY,Internal Revenue Service - Additional Child Tax Credit,2021, $ -   
TREASURY,Internal Revenue Service - American Opportunity Tax Credit,2021, $ -   
TREASURY,"Internal Revenue Service - Build American Bond Payments, Recovery Act",2021, $ -   
TREASURY,Internal Revenue Service - Business Systems Modernization,2021, $ -   
TREASURY,Internal Revenue Service - Earned Income Tax Credit,2017, $ 1.06 
TREASURY,Internal Revenue Service - Earned Income Tax Credit,2021, $ 55.20 
TREASURY,Internal Revenue Service - Healthcare Credit Exceeds Liability,2021, $ -   
TREASURY,Internal Revenue Service - Informant Reimbursement,2021, $ -   
TREASURY,Internal Revenue Service - Operations Support,2021, $ -   
TREASURY,Internal Revenue Service - Payment to Issuer of New Clean Renewable Energy Bonds,2021, $ -   
TREASURY,Internal Revenue Service - Payment to Issuer of Qualified Energy Conservation Bond,2021, $ -   
TREASURY,Internal Revenue Service - Payment to Issuer of Qualified School Construction Bonds,2021, $ -   
TREASURY,Internal Revenue Service - Payment to Issuer of Qualified Zone Academy Bonds,2021, $ -   
TREASURY,Internal Revenue Service - Payments to USVI and Puerto Rico for Disaster Tax Relief,2021, $ -   
TREASURY,Internal Revenue Service - Private Collection Agent Program,2021, $ -   
TREASURY,Internal Revenue Service - Refund - Corporations,2021, $ -   
TREASURY,Internal Revenue Service - Refund Collection - Interest,2021, $ -   
TREASURY,Internal Revenue Service - Refundable Premium Assistance Tax Credit,2021, $ -   
TREASURY,Internal Revenue Service - Small Business Insurance Tax Credit,2021, $ -   
TREASURY,Internal Revenue Service - Special Compliance Personnel Program Account,2021, $ -   
TREASURY,Internal Revenue Service - Tax Law Enforcement,2021, $ -   
TREASURY,Internal Revenue Service - Taxpayer Services,2021, $ -   
TREASURY,Internal Revenue Service - US Coronavirus Payments,2021, $ -   
TREASURY,Internal Revenue Service - US Coronavirus Refundable Credits,2021, $ -   
TREASURY,IRS,2018, $ 13.24 
TREASURY,IRS - Contract Fraud,2017, $ 131.32 
TREASURY,IRS - General Fraud,2017, $ 12.29 
TREASURY,Mint,2017, $ 0.46 
TREASURY,Office of Financial Stability - Home Affordable Modification Program,2021, $ -   
TREASURY,Office of Financial Stability - Salaries and Expenses,2021, $ -   
TREASURY,Office of Financial Stability - Troubled Assets Relief Program Direct Loan Financing Account,2021, $ -   
TREASURY,Office of International Assistance - Contribution International Development Association,2021, $ -   
TREASURY,Office of International Assistance - Contribution to African Development Bank,2021, $ -   
TREASURY,Office of International Assistance - Contribution to African Development Fund,2021, $ -   
TREASURY,Office of International Assistance - Contribution to European Bank for Reconstruction,2021, $ -   
TREASURY,Office of International Assistance - Contribution to Inter-Amer Development,2021, $ -   
TREASURY,Office of International Assistance - Contribution to International Bank Reconstruction,2021, $ -   
TREASURY,Office of International Assistance - Contribution to International Development Association,2021, $ -   
TREASURY,Office of International Assistance - Contribution to the Asian Development Fund,2021, $ -   
TREASURY,Office of International Assistance - Global Environment Facility,2021, $ -   
TREASURY,Office of International Assistance - Global Food Security Fund,2021, $ -   
TREASURY,Office of International Assistance - International Fund for Agriculture Development,2021, $ -   
TREASURY,Office of the Comptroller of the Currency,2018, $ 2.06 
TREASURY,Office of the Comptroller of the Currency,2019, $ 0.17 
TREASURY,Office of the Comptroller of the Currency,2020, $ 7.92 
TREASURY,Office of the Comptroller of the Currency - Assessment Funds,2021, $ 3.50 
TREASURY,Office of the Inspector General - Salaries and Expenses,2021, $ -   
TREASURY,Special Inspector General for Troubled Asset Relief Program,2021, $ -   
TREASURY,The Mint - United States Mint Public Enterprise Fund,2021, $ -   
TREASURY,Treasury Franchise Fund,2021, $ -   
TREASURY,Treasury Inspector General for Tax Administration,2021, $ -   
TVA,Agency Wide,2023, $ 0.91 
TVA,Agency Wide,2024, $ 0.08 
USAGM,Agency Wide,2022, $ -   
USAGM,Agency Wide,2023, $ -   
USAGM,Agency Wide,2024, $ -   
USAGM,Domestic Payroll,2020, $ -   
USAGM,Domestic Payroll,2021, $ -   
USAGM,International Broadcasting Bureau (IBB),2020, $ -   
USAGM,International Broadcasting Bureau (IBB),2021, $ -   
USAGM,MBN,2019, $ 0.06 
USAGM,Middle East Broadcasting Networks (MBN/MN),2020, $ -   
USAGM,Middle East Broadcasting Networks (MBN/MN),2021, $ -   
USAGM,Office of Cuba Broadcasting (OCB),2020, $ -   
USAGM,Office of Cuba Broadcasting (OCB),2021, $ -   
USAGM,Open Technology Fund (OTF),2021, $ -   
USAGM,Radio Free Asia (RFA),2020, $ -   
USAGM,Radio Free Asia (RFA),2021, $ -   
USAGM,Radio Free Europe (RFE/RL),2018, $ 1.97 
USAGM,Radio Free Europe (RFE/RL),2020, $ -   
USAGM,Radio Free Europe (RFE/RL),2021, $ -   
USAGM,RFE/RL,2019, $ 0.06 
USAGM,"Technology, Services and Innovation (TSI)",2020, $ -   
USAGM,"Technology, Services and Innovation (TSI)",2021, $ -   
USAGM,Travel,2019, $ 0.05 
USAGM,Voice of America (VOA),2020, $ -   
USAID,A01 Counter-Terrorism,2021, $ -   
USAID,A02 Combating Weapons of Mass Destruction (WMD),2021, $ -   
USAID,A03 Stabilization Operations and Security Sector Reform,2021, $ -   
USAID,A04 Counter-Narcotics,2021, $ -   
USAID,A05 Transnational Crime,2021, $ -   
USAID,A06 Conflict Mitigation and Reconciliation,2021, $ -   
USAID,A07 Rule of Law and Human Rights,2021, $ -   
USAID,A08 Good Governance,2021, $ -   
USAID,A09 Political Competition and Consensus-Building,2021, $ -   
USAID,A10 Civil Society,2021, $ -   
USAID,A11 Health,2021, $ -   
USAID,A12 Education,2021, $ -   
USAID,A13 Social and Economic Services and Protection for Vulnerable Populations,2021, $ -   
USAID,A14 Macroeconomic Foundation for Growth,2021, $ -   
USAID,A15 Trade and Investment,2021, $ -   
USAID,A16 Financial Sector,2021, $ -   
USAID,A17 Infrastructure,2021, $ -   
USAID,A18 Agriculture,2021, $ -   
USAID,A19 Private Sector Competitiveness,2021, $ -   
USAID,A20 Economic Opportunity,2021, $ -   
USAID,A21 Environment,2021, $ -   
USAID,"A22 Protection, Assistance and Solutions",2021, $ -   
USAID,A23 Disaster Readiness,2021, $ -   
USAID,A24 Migration Management,2021, $ -   
USAID,A25 Crosscutting Management and Staffing,2021, $ -   
USAID,A26 Program Design and Learning,2021, $ -   
USAID,A27 Administration and Oversight,2021, $ -   
USAID,Agency Wide,2022, $ -   
USAID,Agency Wide,2023, $ -   
USAID,Agency Wide,2024, $ -   
USAID,"Democracy and Governance (Rule of Law, Good Governance, Civil Society, Independent Media and Free Flow of Information)",2017, $ 0.97 
USAID,"DR.1 Democracy, Human Rights and Governance/Rule of Law (ROL)",2021, $ -   
USAID,"DR.2 Democracy, Human Rights and Governance/Good Governance",2021, $ -   
USAID,"DR.3 Democracy, Human Rights and Governance/Political Competition and Consensus-Building",2018, $ 0.02 
USAID,"DR.3 Democracy, Human Rights and Governance/Political Competition and Consensus-Building",2021, $ -   
USAID,"DR.4 Democracy, Human Rights and Governance/Civil Society",2019, $ 1.63 
USAID,"DR.4 Democracy, Human Rights and Governance/Civil Society",2020, $ 1.63 
USAID,"DR.4 Democracy, Human Rights and Governance/Civil Society",2021, $ -   
USAID,"DR.5 Democracy, Human Rights and Governance/Independent Media and Free Flow of Information",2021, $ -   
USAID,"DR.6 Democracy, Human Rights and Governance/Human Rights",2021, $ -   
USAID,EG.1 Economic Growth/Macroeconomic Foundation for Growth,2021, $ -   
USAID,EG.2 Economic Growth/Trade and Investment,2021, $ -   
USAID,EG.3 Economic Growth/Agriculture,2018, $ 0.12 
USAID,EG.3 Economic Growth/Agriculture,2021, $ -   
USAID,EG.4 Economic Growth/Financial Sector,2021, $ -   
USAID,EG.6 Economic Growth/Workforce Development,2018, $ 2.13 
USAID,EG.6 Economic Growth/Workforce Development,2021, $ -   
USAID,EG.7 Economic Growth/Modern Energy Services,2021, $ -   
USAID,EG.8 Economic Growth/Information and Communications Technology Services,2021, $ -   
USAID,EG.9 Economic Growth/Transport Services,2021, $ -   
USAID,"Environment (Workforce Development, Modern Energy Services, Environment, Climate Change)",2017, $ 1.62 
USAID,ES.1 Education and Social Services/Basic Education,2018, $ 2.48 
USAID,ES.1 Education and Social Services/Basic Education,2021, $ -   
USAID,ES.2 Education and Social Services/Higher Education,2021, $ -   
USAID,"ES.3 Education and Social Services//Social Policies, Regulations, and Systems",2021, $ -   
USAID,ES.4 Education and Social Services/Social Services,2021, $ -   
USAID,ES.5 Education and Social Services/Social Assistance,2021, $ -   
USAID,"HA.1 Humanitarian Assistance/Protection, Assistance and Solutions",2018, $ 4.55 
USAID,"HA.1 Humanitarian Assistance/Protection, Assistance and Solutions",2019, $ 0.38 
USAID,"HA.1 Humanitarian Assistance/Protection, Assistance and Solutions",2020, $ 0.38 
USAID,"HA.1 Humanitarian Assistance/Protection, Assistance and Solutions",2021, $ -   
USAID,HA.2 Humanitarian Assistance/Disaster Readiness,2021, $ -   
USAID,HA.3 Humanitarian Assistance/Migration Management,2021, $ -   
USAID,"Health (HIV/AIDS, Maternal and Child Health, Tuberculosis, Family Planning and Reproductive Health, Water and Sanitation)",2017, $ 0.39 
USAID,HL.1 Health/HIV/AIDS,2018, $ 0.04 
USAID,HL.1 Health/HIV/AIDS,2021, $ 1.73 
USAID,HL.2 Health/Tuberculosis,2021, $ -   
USAID,HL.3 Health/Malaria,2021, $ -   
USAID,HL.4 Health/Pandemic Influenza and Other Emerging Threats (PIOET),2021, $ -   
USAID,HL.5 Health/Other Public Health Threats,2018, $ 0.14 
USAID,HL.5 Health/Other Public Health Threats,2021, $ -   
USAID,HL.6 Health/Maternal and Child Health,2021, $ -   
USAID,HL.7 Health/Family Planning and Reproductive Health,2021, $ -   
USAID,HL.8 Health/Water Supply and Sanitation,2021, $ -   
USAID,HL.9 Health/Nutrition,2021, $ -   
USAID,Legacy Strategic Objective,2021, $ -   
USAID,OE Operating Expense,2021, $ -   
USAID,PO.1 Program Development and Oversight/Program Design and Learning,2021, $ -   
USAID,PO.2 Program Development and Oversight/Administration and Oversight,2021, $ -   
USAID,PO.3 Program Development and Oversight/Evaluation,2021, $ -   
USAID,PS.1 Peace and Security/Counter-Terrorism,2021, $ -   
USAID,PS.3 Peace and Security/Counter-Narcotics,2021, $ -   
USAID,PS.5 Peace and Security/Trafficking in Persons,2021, $ -   
USAID,PS.6 Peace and Security/Conflict Mitigation and Stabilization,2021, $ -   
USAID,PS.7 Peace and Security/Conventional Weapons Security and Explosive Remnants of War (ERW),2021, $ -   
USAID,PS.8 Peace and Security/Strengthening Military Partnerships and Capabilities,2021, $ -   
USAID,PS.9 Peace and Security/Citizen Security and Law Enforcement,2021, $ -   
USDA,Agency Wide,2022, $ -   
USDA,Agency Wide,2023, $ 84.71 
USDA,Agency Wide,2024, $ 200.40 
USDA,Agricultural Marketing Service (AMS) Commodity Purchase Program,2021, $ -   
USDA,Agricultural Marketing Service (AMS) Grants Program,2021, $ -   
USDA,Agricultural Research Service (ARS) Hurricane Harvey - Buildings and Facilities,2021, $ -   
USDA,Agriculture Research Service (ARS) Buildings and Facilities,2021, $ -   
USDA,AMS,2017, $ 2.09 
USDA,AMS,2018, $ 0.10 
USDA,AMS,2019, $ 133.12 
USDA,AMS,2020, $ 4.72 
USDA,Animal and Plant Health Inspection Service (APHIS) Buildings and Facilities,2021, $ -   
USDA,Animal and Plant Health Inspection Service (APHIS) Cooperative Agreements,2021, $ -   
USDA,Animal and Plant Health Inspection Service (APHIS) Indemnity Program,2021, $ -   
USDA,Animal and Plant Health Inspection Service (APHIS) Salaries and Expenses,2021, $ -   
USDA,Animal and Plant Health Inspection Service (APHIS) Trust Funds,2021, $ -   
USDA,APHIS,2017, $ 0.12 
USDA,APHIS,2018, $ 0.14 
USDA,APHIS,2019, $ 9.21 
USDA,APHIS,2020, $ 7.99 
USDA,ARS,2019, $ 1.49 
USDA,ARS,2020, $ 4.01 
USDA,Commodity Credit Corporation (CCC) Administrative Contracts,2021, $ -   
USDA,Commodity Credit Corporation (CCC) Agriculture Risk Coverage  and Price Loss Coverage (ARC/PLC),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Agriculture Wool Apparel Manufacturers Trust Fund,2021, $ -   
USDA,Commodity Credit Corporation (CCC) Biomass Crop Assistance Program (BCAP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Conservation Reserve Program (CRP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Dairy Indemnity Payment Program (DIPP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Dairy Margin Coverage Program (DMC),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP),2021, $ -   
USDA,"Commodity Credit Corporation (CCC) Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish Program (ELAP)",2021, $ -   
USDA,Commodity Credit Corporation (CCC) Emergency Forestry Conservation Reserve Program (EFCRP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Export 416 Ocean Transportation,2021, $ -   
USDA,Commodity Credit Corporation (CCC) Export Credit Guarantee Program Level,2021, $ -   
USDA,Commodity Credit Corporation (CCC) Farm Storage Facility Loan (FSFL),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Feed Stock Flexibility Program (FFP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Food for Progress Program,2021, $ -   
USDA,Commodity Credit Corporation (CCC) Hazardous Waste Activities,2021, $ -   
USDA,Commodity Credit Corporation (CCC) Livestock Forage Disaster Program (LFP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Livestock Indemnity Program (LIP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Loan Deficiency Payments (LDP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Market Facilitation Program (MFP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Marketing Programs,2021, $ -   
USDA,Commodity Credit Corporation (CCC) Noninsured Crop Disaster Assistance Program (NAP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Pima Agriculture Cotton Trust Fund,2021, $ -   
USDA,Commodity Credit Corporation (CCC) Public Law 480,2021, $ -   
USDA,Commodity Credit Corporation (CCC) Supplemental Revenue Assistance Payments Program (SURE),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Trade Adjustment Assistance Program (TAA),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Trade Mitigation Program (TMP),2021, $ -   
USDA,Commodity Credit Corporation (CCC) Tree Assistance Program (TAP),2021, $ -   
USDA,DA,2019, $ -   
USDA,DA,2020, $ -   
USDA,Farm Service Agency (FSA) Agricultural Credit Insurance Fund-Program Account (ACIF),2021, $ -   
USDA,Farm Service Agency (FSA) Emergency Conservation Program - Disasters (ECP-Disasters),2021, $ -   
USDA,Farm Service Agency (FSA) Emergency Forest Restoration Program (EFRP),2021, $ -   
USDA,Farm Service Agency (FSA) Grassroots Source Water Protection Program,2021, $ -   
USDA,Farm Service Agency (FSA) Reimbursement Transportation Cost Payment Program (RTCP),2021, $ -   
USDA,Farm Service Agency (FSA) Salaries and Expenses,2021, $ -   
USDA,Farm Service Agency (FSA) State Mediation Grants,2021, $ -   
USDA,Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program (WHIP),2021, $ -   
USDA,Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program Plus (WHIP+),2021, $ -   
USDA,FAS,2017, $ 0.25 
USDA,FAS,2018, $ 20.41 
USDA,FAS,2019, $ -   
USDA,FAS,2020, $ -   
USDA,FNS,2017, $ 114.01 
USDA,FNS,2018, $ 105.04 
USDA,FNS,2019, $ 38.26 
USDA,FNS,2020, $ 60.09 
USDA,FNS Hurricane Harvey - Commodity Assistance Program,2021, $ -   
USDA,FNS Hurricane Harvey - SNAP,2021, $ -   
USDA,FNS Hurricane Harvey - WIC,2021, $ -   
USDA,FNS Hurricane Sandy - Commodity Assistance Program,2021, $ -   
USDA,Food and Nutrition Service (FNS) American Samoa (AS),2021, $ -   
USDA,Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions,2021, $ -   
USDA,Food and Nutrition Service (FNS) Commodity Supplemental Food Program (CSFP),2021, $ -   
USDA,Food and Nutrition Service (FNS) Commonwealth of the Northern Marianas Islands (CNMI),2021, $ -   
USDA,Food and Nutrition Service (FNS) Farmers' Market Nutrition Program (FMNP),2021, $ -   
USDA,Food and Nutrition Service (FNS) Food Distribution Program on Indian Reservations (FDPIR),2021, $ -   
USDA,Food and Nutrition Service (FNS) National School Lunch Program (NSLP),2021, $ -   
USDA,Food and Nutrition Service (FNS) Nutrition Assistance Program - Puerto Rico,2021, $ -   
USDA,Food and Nutrition Service (FNS) Nutrition Program Administration (NPA),2021, $ -   
USDA,Food and Nutrition Service (FNS) School Breakfast Program (SBP),2021, $ -   
USDA,Food and Nutrition Service (FNS) Senior Farmers' Market Nutrition Program (SFMNP),2021, $ -   
USDA,Food and Nutrition Service (FNS) Special Milk Program (SMP),2021, $ -   
USDA,"Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",2021, $ -   
USDA,Food and Nutrition Service (FNS) Summer Food Service Program (SFSP),2021, $ -   
USDA,Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP),2021, $ 20.94 
USDA,Food and Nutrition Service (FNS) The Emergency Food Assistance Program (TEFAP),2021, $ -   
USDA,Food Safety and Inspection Service (FSIS) Salaries and Expenses,2021, $ -   
USDA,Forest Service (FS) Capital Improvement and Maintenance,2021, $ -   
USDA,Forest Service (FS) Disaster Supplemental - Capital Improvement and Maintenance,2021, $ -   
USDA,Forest Service (FS) Emergency Leave,2021, $ -   
USDA,Forest Service (FS) Forest and Rangeland Research,2021, $ -   
USDA,Forest Service (FS) Forest and Rangeland Research - Disaster Relief,2021, $ -   
USDA,Forest Service (FS) Forest Service Trust Funds,2021, $ -   
USDA,Forest Service (FS) Land Acquisition,2021, $ -   
USDA,Forest Service (FS) Management of National Forest Lands for Subsistence Uses,2021, $ -   
USDA,Forest Service (FS) National Forest System,2021, $ -   
USDA,Forest Service (FS) Operations,2021, $ -   
USDA,Forest Service (FS) Permanent Appropriations,2021, $ -   
USDA,Forest Service (FS) Range Betterment Fund,2021, $ -   
